date,item_id,item_count,price
01-01-2019,3,2,58.44
01-01-2019,4,22,581.24
01-01-2019,12,7,34.09
01-01-2019,13,12,50.16
01-01-2019,16,136,436.56
01-01-2019,19,108,312.12
01-01-2019,21,13,301.99
01-01-2019,23,10,108.6
01-01-2019,27,1,26.21
01-01-2019,35,1,4.36
01-01-2019,42,1,2.91
01-01-2019,45,4,93.72
01-01-2019,56,18,517.5
01-01-2019,59,30,701.1
01-01-2019,67,23,161
01-01-2019,73,2,10.32
01-01-2019,75,1,5.6
01-01-2019,76,32,573.76
01-01-2019,90,2,15.42
01-01-2019,91,1,15.46
01-01-2019,93,1,12.44
01-01-2019,1,0,0
01-01-2019,2,0,0
01-01-2019,5,0,0
01-01-2019,6,0,0
01-01-2019,7,0,0
01-01-2019,8,0,0
01-01-2019,9,0,0
01-01-2019,10,0,0
01-01-2019,11,0,0
01-01-2019,14,0,0
01-01-2019,15,0,0
01-01-2019,17,0,0
01-01-2019,18,0,0
01-01-2019,20,0,0
01-01-2019,22,0,0
01-01-2019,24,0,0
01-01-2019,25,0,0
01-01-2019,26,0,0
01-01-2019,28,0,0
01-01-2019,29,0,0
01-01-2019,30,0,0
01-01-2019,31,0,0
01-01-2019,32,0,0
01-01-2019,33,0,0
01-01-2019,34,0,0
01-01-2019,36,0,0
01-01-2019,37,0,0
01-01-2019,38,0,0
01-01-2019,39,0,0
01-01-2019,40,0,0
01-01-2019,41,0,0
01-01-2019,43,0,0
01-01-2019,44,0,0
01-01-2019,46,0,0
01-01-2019,47,0,0
01-01-2019,48,0,0
01-01-2019,49,0,0
01-01-2019,50,0,0
01-01-2019,51,0,0
01-01-2019,52,0,0
01-01-2019,53,0,0
01-01-2019,54,0,0
01-01-2019,55,0,0
01-01-2019,57,0,0
01-01-2019,58,0,0
01-01-2019,60,0,0
01-01-2019,61,0,0
01-01-2019,62,0,0
01-01-2019,63,0,0
01-01-2019,64,0,0
01-01-2019,65,0,0
01-01-2019,66,0,0
01-01-2019,68,0,0
01-01-2019,69,0,0
01-01-2019,70,0,0
01-01-2019,71,0,0
01-01-2019,72,0,0
01-01-2019,74,0,0
01-01-2019,77,0,0
01-01-2019,78,0,0
01-01-2019,79,0,0
01-01-2019,80,0,0
01-01-2019,81,0,0
01-01-2019,82,0,0
01-01-2019,83,0,0
01-01-2019,84,0,0
01-01-2019,85,0,0
01-01-2019,86,0,0
01-01-2019,87,0,0
01-01-2019,88,0,0
01-01-2019,89,0,0
01-01-2019,92,0,0
01-01-2019,94,0,0
01-01-2019,95,0,0
01-01-2019,96,0,0
01-01-2019,97,0,0
01-01-2019,98,0,0
01-01-2019,99,0,0
01-01-2019,100,0,0
02-01-2019,4,26,686.92
02-01-2019,12,5,24.35
02-01-2019,13,8,33.44
02-01-2019,16,110,353.1
02-01-2019,19,94,271.66
02-01-2019,21,4,92.92
02-01-2019,23,4,43.44
02-01-2019,42,1,2.91
02-01-2019,45,1,23.43
02-01-2019,49,1,1.39
02-01-2019,56,12,345
02-01-2019,59,21,490.77
02-01-2019,67,19,133
02-01-2019,73,1,5.16
02-01-2019,76,24,430.32
02-01-2019,80,2,107.96
02-01-2019,89,1,3.06
02-01-2019,90,1,7.71
02-01-2019,93,1,12.44
02-01-2019,94,1,5.71
02-01-2019,1,0,0
02-01-2019,2,0,0
02-01-2019,3,0,0
02-01-2019,5,0,0
02-01-2019,6,0,0
02-01-2019,7,0,0
02-01-2019,8,0,0
02-01-2019,9,0,0
02-01-2019,10,0,0
02-01-2019,11,0,0
02-01-2019,14,0,0
02-01-2019,15,0,0
02-01-2019,17,0,0
02-01-2019,18,0,0
02-01-2019,20,0,0
02-01-2019,22,0,0
02-01-2019,24,0,0
02-01-2019,25,0,0
02-01-2019,26,0,0
